INFO:root:calibrating voice
INFO:calibrating voice
2022-05-18 07:06:27,773:INFO:calibrating voice
INFO:2022-05-18 16:21:37,425:root: Voice calibrated
INFO:2022-05-18 16:21:46,381:root: Requesting callback
INFO:2022-05-18 16:21:47,070:root: command:haider
INFO:2022-05-18 16:21:47,501:root: Executing command
INFO:2022-05-18 16:21:49,311:root: Requesting callback
INFO:2022-05-18 16:21:50,227:root: command:good boy
INFO:2022-05-18 16:22:11,375:root: Calibrating voice
INFO:2022-05-18 16:22:12,623:root: Voice calibrated
INFO:2022-05-18 16:23:14,617:root: Calibrating voice
INFO:2022-05-18 16:23:15,694:root: Voice calibrated
INFO:2022-05-18 16:23:28,111:root: Requesting callback
INFO:2022-05-18 16:23:30,363:root: command:hay
INFO:2022-05-18 16:23:30,783:root: Executing command
INFO:2022-05-18 16:23:30,882:root: Getting response
INFO:2022-05-18 16:24:01,637:root: Requesting callback
INFO:2022-05-18 16:24:04,265:root: command:tell me a joke
INFO:2022-05-18 16:24:05,006:root: Executing command
INFO:2022-05-18 16:24:08,812:root: Requesting callback
INFO:2022-05-18 16:24:10,774:root: command:news from i don't want to read write
INFO:2022-05-18 16:24:11,054:root: Getting response
INFO:2022-05-18 16:24:12,058:root: Executing command
INFO:2022-05-18 16:24:12,098:root: Getting response
INFO:2022-05-18 16:24:29,208:root: Requesting callback
INFO:2022-05-18 16:24:32,275:root: Requesting callback
INFO:2022-05-18 22:51:28,173:root: Calibrating voice
INFO:2022-05-18 22:51:29,108:root: Voice calibrated
INFO:2022-05-18 22:51:37,858:root: Requesting callback
INFO:2022-05-18 22:51:38,558:root: command:hi mac
INFO:2022-05-18 22:51:39,191:root: Executing command
INFO:2022-05-18 22:51:39,295:root: Getting response
INFO:2022-05-18 22:51:49,632:root: Requesting callback
INFO:2022-05-18 22:51:50,404:root: command:how is my day looking
INFO:2022-05-18 22:51:50,905:root: Executing command
INFO:2022-05-18 22:51:50,944:root: Getting response
INFO:2022-05-18 22:51:57,836:root: Requesting callback
INFO:2022-05-18 22:52:00,247:root: Requesting callback
INFO:2022-05-18 22:52:07,121:root: Requesting callback
INFO:2022-05-18 22:52:08,006:root: command:how much stocks
INFO:2022-05-18 22:52:08,561:root: Executing command
INFO:2022-05-18 22:52:08,600:root: Getting response
INFO:2022-05-18 22:52:35,779:root: Requesting callback
INFO:2022-05-18 22:52:38,985:root: command:hawa my stocks
INFO:2022-05-18 22:52:39,273:root: Executing command
INFO:2022-05-18 22:52:39,312:root: Getting response
INFO:2022-05-18 22:53:28,681:root: Requesting callback
INFO:2022-05-18 22:53:33,916:root: command:tell me a joke tell me a joke
INFO:2022-05-18 22:53:34,237:root: Executing command
INFO:2022-05-18 22:53:43,286:root: Getting response
INFO:2022-05-18 23:24:19,939:root: Calibrating voice
INFO:2022-05-18 23:24:21,195:root: Voice calibrated
INFO:2022-05-18 23:32:55,387:root: Calibrating voice
INFO:2022-05-18 23:32:56,962:root: Voice calibrated
INFO:2022-05-18 23:32:57,784:root: Listening
INFO:2022-05-18 23:33:01,741:root: Requesting callback
INFO:2022-05-18 23:33:02,697:root: command:hi mike
INFO:2022-05-18 23:33:02,702:root: Executing command
INFO:2022-05-18 23:33:02,803:root: Getting response
INFO:2022-05-18 23:33:07,467:root: Speaking
INFO:2022-05-18 23:33:10,535:root: Listening
INFO:2022-05-18 23:33:13,777:root: Requesting callback
INFO:2022-05-18 23:33:14,551:root: command:what's up
INFO:2022-05-18 23:33:14,752:root: Executing command
INFO:2022-05-18 23:33:14,791:root: Getting response
INFO:2022-05-18 23:33:22,849:root: Speaking
INFO:2022-05-18 23:33:25,814:root: Listening
INFO:2022-05-18 23:33:29,071:root: Requesting callback
INFO:2022-05-18 23:33:29,886:root: command:tell me a joke
INFO:2022-05-18 23:33:30,035:root: Executing command
INFO:2022-05-18 23:33:30,828:root: Speaking
INFO:2022-05-18 23:33:39,807:root: Listening
INFO:2022-05-18 23:33:39,807:root: Executing command
INFO:2022-05-18 23:33:45,343:root: Speaking
INFO:2022-05-18 23:33:51,322:root: Listening
INFO:2022-05-18 23:33:51,323:root: Executing command
INFO:2022-05-18 23:33:52,556:root: Speaking
INFO:2022-05-18 23:34:04,503:root: Listening
INFO:2022-05-18 23:34:04,503:root: Executing command
INFO:2022-05-18 23:34:10,593:root: Speaking
INFO:2022-05-18 23:34:16,568:root: Listening
INFO:2022-05-18 23:34:16,569:root: Executing command
INFO:2022-05-18 23:34:18,084:root: Speaking
INFO:2022-05-18 23:34:24,060:root: Listening
INFO:2022-05-18 23:34:24,060:root: Executing command
INFO:2022-05-18 23:34:33,848:root: Speaking
INFO:2022-05-18 23:34:45,830:root: Listening
INFO:2022-05-18 23:34:45,830:root: Executing command
INFO:2022-05-18 23:34:47,069:root: Speaking
INFO:2022-05-18 23:41:11,357:root: Listening
INFO:2022-05-18 23:41:16,811:root: Requesting callback
INFO:2022-05-18 23:41:17,902:root: command:hi mike
INFO:2022-05-18 23:41:18,386:root: Executing command
INFO:2022-05-18 23:41:18,540:root: Getting response
INFO:2022-05-18 23:41:18,850:root: Speaking
INFO:2022-05-18 23:41:21,905:root: Listening
INFO:2022-05-18 23:41:32,782:root: Requesting callback
INFO:2022-05-18 23:41:34,540:root: command:tell me a joke
INFO:2022-05-18 23:41:34,560:root: Executing command
INFO:2022-05-18 23:41:39,579:root: Speaking
INFO:2022-05-18 23:41:48,557:root: Listening
INFO:2022-05-18 23:41:48,557:root: Executing command
INFO:2022-05-18 23:45:46,183:root: Listening
INFO:2022-05-18 23:45:49,570:root: Requesting callback
INFO:2022-05-18 23:45:50,051:root: command:imac
INFO:2022-05-18 23:45:50,408:root: Executing command
INFO:2022-05-18 23:45:50,564:root: Getting response
INFO:2022-05-18 23:45:50,985:root: Speaking
INFO:2022-05-18 23:45:53,850:root: Listening
INFO:2022-05-18 23:45:59,206:root: Requesting callback
INFO:2022-05-18 23:46:00,010:root: command:tell me a joke
INFO:2022-05-18 23:46:00,169:root: Executing command
INFO:2022-05-18 23:46:01,013:root: Speaking
INFO:2022-05-18 23:46:06,984:root: Listening
INFO:2022-05-18 23:46:06,985:root: Executing command
INFO:2022-05-18 23:46:24,211:root: Speaking
INFO:2022-05-18 23:46:33,168:root: Listening
INFO:2022-05-18 23:46:33,169:root: Executing command
INFO:2022-05-18 23:48:39,999:root: Listening
INFO:2022-05-18 23:48:43,146:root: Requesting callback
INFO:2022-05-18 23:48:44,214:root: Executing command:imac
INFO:2022-05-18 23:48:44,311:root: Getting response
INFO:2022-05-18 23:48:46,949:root: Speaking
INFO:2022-05-18 23:48:49,974:root: Listening
INFO:2022-05-18 23:48:51,920:root: Requesting callback
INFO:2022-05-18 23:48:54,286:root: Requesting callback
INFO:2022-05-18 23:48:55,600:root: Executing command:what's the time
INFO:2022-05-18 23:48:56,067:root: Speaking
INFO:2022-05-18 23:49:02,048:root: Listening
INFO:2022-05-18 23:49:02,049:root: Executing command:what's the time
INFO:2022-05-18 23:49:10,873:root: Speaking
INFO:2022-05-18 23:50:20,412:root: Listening
INFO:2022-05-18 23:50:24,741:root: Requesting callback
INFO:2022-05-18 23:50:26,033:root: Executing command:hai
INFO:2022-05-18 23:50:26,899:root: Speaking
INFO:2022-05-18 23:50:29,947:root: Listening
INFO:2022-05-18 23:50:29,947:root: Executing command:hai
INFO:2022-05-18 23:50:31,174:root: Speaking
INFO:2022-05-18 23:50:34,140:root: Listening
INFO:2022-05-18 23:50:34,140:root: Executing command:hai
INFO:2022-05-18 23:50:39,951:root: Speaking
INFO:2022-05-18 23:51:43,189:root: Listening
INFO:2022-05-18 23:51:45,543:root: Requesting callback
INFO:2022-05-18 23:51:46,704:root: Executing command:hi mac
INFO:2022-05-18 23:51:46,798:root: Getting response
INFO:2022-05-18 23:51:47,329:root: Speaking
INFO:2022-05-18 23:51:53,385:root: Listening
INFO:2022-05-18 23:51:58,292:root: Requesting callback
INFO:2022-05-18 23:51:59,714:root: Executing command:what's the time
INFO:2022-05-18 23:51:59,958:root: Speaking
INFO:2022-05-18 23:52:05,940:root: Listening
INFO:2022-05-18 23:52:05,940:root: Executing command:what's the time
INFO:2022-05-18 23:52:07,990:root: Speaking
INFO:2022-05-18 23:53:39,291:root: Listening
INFO:2022-05-18 23:53:42,807:root: Requesting callback
INFO:2022-05-18 23:53:43,513:root: Executing command:hai
INFO:2022-05-18 23:53:43,605:root: Getting response
INFO:2022-05-18 23:53:44,191:root: Speaking
INFO:2022-05-18 23:53:47,233:root: Listening
INFO:2022-05-18 23:53:51,862:root: Requesting callback
INFO:2022-05-18 23:53:52,849:root: Executing command:what's the time
INFO:2022-05-18 23:53:53,689:root: Speaking
INFO:2022-05-18 23:53:59,659:root: Listening
INFO:2022-05-18 23:53:59,659:root: Executing command:what's the time
INFO:2022-05-18 23:54:00,887:root: Speaking
INFO:2022-05-18 23:54:06,854:root: Listening
INFO:2022-05-18 23:54:06,854:root: Executing command:what's the time
INFO:2022-05-19 00:06:31,689:root: Listening
INFO:2022-05-19 00:06:33,997:root: Requesting callback
INFO:2022-05-19 00:06:35,204:root: Executing command:hai
INFO:2022-05-19 00:06:35,299:root: Getting response
INFO:2022-05-19 00:06:38,122:root: Speaking
INFO:2022-05-19 00:06:41,171:root: Listening
INFO:2022-05-19 00:06:43,734:root: Requesting callback
INFO:2022-05-19 00:06:44,691:root: Executing command:what's the time
INFO:2022-05-19 00:06:49,046:root: Speaking
INFO:2022-05-19 00:06:55,026:root: Listening
INFO:2022-05-19 00:07:01,186:root: Requesting callback
INFO:2022-05-19 00:07:02,753:root: Executing command:tell me a joke
INFO:2022-05-19 00:07:05,131:root: Speaking
INFO:2022-05-19 00:07:17,079:root: Listening
INFO:2022-05-19 00:07:19,967:root: Requesting callback
